capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
FRANK IERO AND THE PATIENCE - KEEP THE COFFINS COMING,335,86,58,61,56,25,29,19,21,9,19,11
LIKE MOTHS TO FLAMES - DARK DIVINE,1662,237,134,101,102,88,87,51,57,56,41,33
BLUES TRAVELER - TRUTH BE TOLD,5,2,1,2,3,1,1,2,1,1,2,4
"EMERSON, LAKE & PALMER - TARKUS",33,55,67,71,107,298,148,111,119,136,130,116
LINDSAY ELL - THE CONTINUUM PROJECT,600,620,225,150,137,82,54,62,64,62,52,49
KREATOR - PLEASURE TO KILL,23,83,32,33,29,38,23,39,34,34,30,19
NINA SIMONE - MOOD INDIGO: THE COMPLETE BETHLEHEM SINGLES,160,84,10,4,9,7,6,4,7,6,4,3
DON MCLEAN - BOTANICAL GARDENS,74,40,9,7,4,9,7,5,7,3,3,7
KATHARINE MCPHEE - I FALL IN LOVE TOO EASILY,2246,516,292,359,143,167,125,111,81,71,134,105
DEAF HAVANA - FOOLS AND WORTHLESS LIARS,7,4,11,4,13,7,7,2,8,8,4,4
STRAY - STRAY,2,3,3,2,2,1,2,1,1,2,2,2
THE CHARLATANS - DIFFERENT DAYS,214,94,29,17,16,12,4,10,14,13,8,7
FOR THE FALLEN DREAMS - SIX,650,304,198,166,138,127,134,85,67,69,76,47
"PETULA CLARK - I COULDN’T LIVE WITHOUT YOUR LOVE – HITS, CLASSICS & MORE",68,39,41,42,27,37,19,18,48,21,16,13
THE BEAT - HARD TO BEAT,58,110,96,82,89,223,81,95,91,127,89,66
